city,lng,lat
七台河,130.97345,45.91157
万宁,110.280656,18.836293
三亚,109.417795,18.393993
三明,117.396094,26.299091
三门峡,111.106209,34.361759
上海,121.469481,31.204947
上饶,117.471889,28.773915
东方,108.839383,18.994665
东莞,113.875181,22.935259
东营,118.600525,37.628768
中卫,105.502215,37.018603
中山,113.385902,22.521043
临夏回族,103.277929,35.671376
临汾,111.37763,36.226687
临沂,118.279486,35.310827
临沧,99.672233,23.938789
临高县,109.712463,19.801759
丹东,124.407139,40.540293
丽水,119.512284,28.200143
丽江,100.524691,26.941041
乌兰察布,112.442978,41.682915
乌海,106.86897,39.426955
乌鲁木齐,87.786376,43.75379
乐东黎族自治县,109.051839,18.653779
乐山,103.570389,29.21622
九江,115.451381,29.322685
云浮,111.794162,22.815617
五家渠,87.554678,44.361356
五指山,109.507119,18.825831
亳州,116.18033,33.436167
仙桃,113.374926,30.290101
伊春,129.212869,47.813094
伊犁哈萨克,82.128947,43.449199
佛山,112.944587,23.006451
佳木斯,132.261004,47.267306
保亭黎族苗族自治县,109.646405,18.591371
保定,115.170595,39.021455
保山,98.971204,24.976527
信阳,114.881665,32.080679
儋州,109.400874,19.569742
克孜勒苏柯尔克孜,75.944539,39.655735
克拉玛依,85.191871,45.478038
六安,116.22889,31.661119
六盘水,104.891176,26.135754
兰州,103.637491,36.355503
兴安盟,121.337256,46.225595
内江,104.910305,29.641637
凉山彝族,102.078726,27.88799
包头,110.259747,41.550267
北京,116.410473,40.18507
北屯,87.954192,47.242172
北海,109.331849,21.678212
十堰,110.442123,32.457345
南京,118.842124,31.929936
南充,106.203805,31.195733
南宁,108.463479,23.056742
南平,118.142285,27.340369
南昌,116.018942,28.64983
南通,121.023299,32.184183
南阳,112.284195,33.043236
博尔塔拉蒙古,82.106934,44.730662
厦门,118.117225,24.67518
双河,82.346802,44.852356
双鸭山,132.543434,46.68003
可克达拉,80.683489,43.924748
台州,121.111517,28.772864
合肥,117.356516,31.763541
吉安,114.824506,26.973061
吉林,126.842641,43.578975
吐鲁番,89.815983,42.391413
吕梁,111.264943,37.678952
吴忠,106.529659,37.461417
周口,114.877698,33.722136
呼伦贝尔,121.195958,49.660879
呼和浩特,111.496773,40.592035
和田,80.921197,37.071679
咸宁,114.174382,29.624704
咸阳,108.390369,34.787229
哈密,93.497596,43.046036
哈尔滨,127.955494,45.636535
唐山,118.336163,39.722007
商丘,115.697894,34.289562
商洛,109.900738,33.647662
喀什,77.186131,38.126884
嘉兴,120.759177,30.633975
嘉峪关,98.210761,39.828626
四平,124.383231,43.483002
固原,106.182184,35.913317
图木舒克,79.039925,39.846768
塔城,84.791443,45.639585
大兴安岭,124.199787,52.326427
大同,113.720516,39.899917
大庆,124.699381,46.346022
大理白族,100.039018,25.72812
大连,122.202077,39.594777
天水,105.738337,34.647525
天津,117.332803,39.294539
天门,113.112224,30.644931
太原,112.316018,37.959023
威海,121.982913,37.119314
娄底,111.614209,27.739135
孝感,113.878618,31.117857
宁德,119.47185,26.975928
宁波,121.468173,29.729142
安庆,116.486396,30.576056
安康,108.92618,32.759474
安阳,114.350495,35.876413
安顺,105.948832,25.995444
定安县,110.308017,19.485072
定西,104.452733,35.119717
宜宾,104.635341,28.572735
宜昌,111.135334,30.747106
宜春,114.971344,28.306147
宝鸡,107.200928,34.379159
宣城,118.854275,30.687444
宿州,117.209421,33.860244
宿迁,118.51983,33.783946
屯昌县,110.051559,19.343086
山南,92.268554,28.300637
岳阳,113.254878,29.064669
崇左,107.273524,22.502982
巴中,107.037656,32.015546
巴彦淖尔,107.569336,41.445756
巴音郭楞蒙古,87.465436,39.490677
常州,119.637643,31.626256
常德,111.519542,29.300709
平凉,106.646752,35.305339
平顶山,113.01167,33.795695
广元,105.783243,32.260688
广安,106.662701,30.425663
广州,113.536787,23.342995
庆阳,107.587981,36.164541
廊坊,116.626982,39.258032
延安,109.315784,36.437245
延边朝鲜族,129.125987,43.141293
开封,114.534598,34.603803
张家口,115.031226,40.86508
张家界,110.52684,29.392535
张掖,99.752138,38.999302
徐州,117.514234,34.359132
德宏傣族景颇族,98.085865,24.558191
德州,116.647755,37.246039
德阳,104.435342,31.130027
忻州,112.408581,38.881893
怀化,110.074185,27.547532
怒江傈僳族,98.870008,26.959045
恩施土家族苗族,109.548075,30.19045
惠州,114.497605,23.24471
成都,103.93007,30.653539
扬州,119.473872,32.737984
承德,117.546528,41.346802
抚州,116.433869,27.510255
抚顺,124.654954,41.833366
拉萨,91.089839,30.037025
揭阳,116.11727,23.338195
攀枝花,101.731045,26.806617
文山壮族苗族,104.715483,23.690163
文昌,110.769856,19.745092
新乡,114.087045,35.262404
新余,114.852538,27.845186
无锡,120.078784,31.528935
日喀则,86.485031,29.490766
日照,119.13459,35.583365
昆明,102.87241,25.387902
昆玉,78.935742,37.504508
昌吉回族,88.631873,44.345817
昌江黎族自治县,109.000638,19.217635
